"fabricante_oleo","modelo_oleo","viscosidade"
"-","Arla 32","-"
"-","CLP","ISO VG 150"
"-","CLP","ISO VG 220"
"-","CLP","ISO VG 320"
"-","CLP","ISO VG 460"
"-","CLP","ISO VG 68"
"-","CLP","ISO VG 680"
"-","Diesel B S10","-"
"-","Diesel B S500","-"
"-","HLP","ISO VG 32"
"-","HLP","ISO VG 46"
"-","HLP","ISO VG 68"
"-","MONO ETILENO 78%","-"
"-",NULL,"-"
"-",NULL,"1005"
"-",NULL,"102 EAL"
"-",NULL,"11480 (50% de óleo 6800 + 50% de óleo 20000)"
"-",NULL,"1340"
"-",NULL,"20W"
"-",NULL,"220"
"-",NULL,"220 EP"
"-",NULL,"30"
"-",NULL,"300 C"
"-",NULL,"30W"
"-",NULL,"3100"
"-",NULL,"320"
"-",NULL,"40 (INACTIVO)"
"-",NULL,"40W"
"-",NULL,"41-141"
"-",NULL,"424"
"-",NULL,"46"
"-",NULL,"460"
"-",NULL,"4600"
"-",NULL,"500"
"-",NULL,"50/50"
"-",NULL,"50W"
"-",NULL,"550"
"-",NULL,"5W20"
"-",NULL,"5W40"
"-",NULL,"600 XP 100"
"-",NULL,"600 XP 150"
"-",NULL,"600 XP 220"
"-",NULL,"600 XP 320"
"-",NULL,"600 XP 460"
"-",NULL,"600 XP 68"
"-",NULL,"626"
"-",NULL,"627"
"-",NULL,"629"
"-",NULL,"630"
"-",NULL,"632"
"-",NULL,"636"
"-",NULL,"668"
"-",NULL,"68"
"-",NULL,"680"
"-",NULL,"681"
"-",NULL,"70W90"
"-",NULL,"75W"
"-",NULL,"75w140"
"-",NULL,"75W80"
"-",NULL,"75W95"
"-",NULL,"8000"
"-",NULL,"80W"
"-",NULL,"80w140"
"-",NULL,"80W90"
"-",NULL,"85W40"
"-",NULL,"85W90"
"-",NULL,"860-460"
"-",NULL,"9000"
"-",NULL,"Arla 32"
"-",NULL,"AT101"
"-",NULL,"AT102"
"-",NULL,"ATF"
"-",NULL,"ATF 102"
"-",NULL,"ATF 200"
"-",NULL,"ATF DM"
"-",NULL,"ATF MD3"
"-",NULL,"AW32"
"-",NULL,"AW 68 HLP"
"-",NULL,"Biodiesel B100"
"-",NULL,"BSE 170"
"-",NULL,"Collant"
"-",NULL,"Coolant"
"-",NULL,"COOL-GARD"
"-",NULL,"DTE 26"
"-",NULL,"DTE 46"
"-",NULL,"EP 2"
"-",NULL,"EX 46"
"-",NULL,"Fluid DOT4"
"-",NULL,"Glicol"
"-",NULL,"GRAU 100"
"-",NULL,"GRAU 1000"
"-",NULL,"GRAU 400"
"-",NULL,"HD 30"
"-",NULL,"HD 50"
"-",NULL,"HD 85W140"
"-",NULL,"HIDROBAK HV 68"
"-",NULL,"HM68"
"-",NULL,"HO-46"
"-",NULL,"HO-56"
"-",NULL,"Hydrau"
"-",NULL,"HYGARD"
"-",NULL,"HY-TRAN"
"-",NULL,"ISO 100"
"-",NULL,"ISO 120"
"-",NULL,"ISO 220"
"-",NULL,"ISO 32"
"-",NULL,"ISO 320"
"-",NULL,"ISO 3200"
"-",NULL,"ISO 360"
"-",NULL,"ISO 46"
"-",NULL,"ISO 460"
"-",NULL,"ISO 55"
"-",NULL,"ISO 68"
"-",NULL,"ISO VG 10"
"-",NULL,"ISO VG 100"
"-",NULL,"ISO VG 1000"
"-",NULL,"ISO VG 15"
"-",NULL,"ISO VG 150"
"-",NULL,"ISO VG 22"
"-",NULL,"ISO VG 220"
"-",NULL,"ISO VG 25"
"-",NULL,"ISO VG 32"
"-",NULL,"ISO VG 320"
"-",NULL,"ISO VG 45"
"-",NULL,"ISO VG 46"
"-",NULL,"ISO VG 460"
"-",NULL,"ISO VG 55"
"-",NULL,"ISO VG 68"
"-",NULL,"ISO VG 680"
"-",NULL,"ISO VG 68 (duplicado)"
"-",NULL,"Klüber Summit R 200"
"-",NULL,"M 420"
"-",NULL,"mobil"
"-",NULL,"Mysella S5 N40"
"-",NULL,"N 32"
"-",NULL,"NA"
"-",NULL,"NÃO INFORMADO"
"-",NULL,"NGLI 2"
"-",NULL,"NLGI 00"
"-",NULL,"NLGI 1"
"-",NULL,"NLGI 2"
"-",NULL,"No Informado"
"-",NULL,"Óleo Diesel"
"-",NULL,"OMALA 150"
"-",NULL,"OMALA 220"
"-",NULL,"OMALA 320"
"-",NULL,"Plus 50"
"-",NULL,"PLUS 50 II"
"-",NULL,"Plus 85w140"
"-",NULL,"QUINTOLUBRIC"
"-",NULL,"ROTO Z"
"-",NULL,"S10"
"-",NULL,"S500"
"-",NULL,"SAE 0W16"
"-",NULL,"SAE 0W20"
"-",NULL,"SAE 0W30"
"-",NULL,"SAE 0W40"
"-",NULL,"SAE 10W"
"-",NULL,"SAE 10W30"
"-",NULL,"SAE 10W40"
"-",NULL,"SAE 10W50"
"-",NULL,"SAE 10W60"
"-",NULL,"SAE 140"
"-",NULL,"SAE 140."
"-",NULL,"SAE 15W30"
"-",NULL,"SAE 15W40"
"-",NULL,"SAE 15W50"
"-",NULL,"SAE 15W60"
"-",NULL,"SAE 20"
"-",NULL,"SAE 20W30"
"-",NULL,"SAE 20W40"
"-",NULL,"SAE 20W50"
"-",NULL,"SAE 25W50"
"-",NULL,"SAE 30"
"-",NULL,"SAE 30W"
"-",NULL,"SAE 40"
"-",NULL,"SAE 46"
"-",NULL,"SAE 50"
"-",NULL,"SAE 5W30"
"-",NULL,"SAE 5W40"
"-",NULL,"SAE 60"
"-",NULL,"SAE 75W140"
"-",NULL,"SAE 75W80"
"-",NULL,"SAE 75W85"
"-",NULL,"SAE 75W90"
"-",NULL,"SAE 80"
"-",NULL,"SAE 80W140"
"-",NULL,"SAE 80W90"
"-",NULL,"SAE 85W140"
"-",NULL,"SAE 90"
"-",NULL,"TDH SPECIAL"
"-",NULL,"TELLUS 46"
"-",NULL,"TELLUS 68"
"-",NULL,"TEXAMATIC B"
"-",NULL,"TO-10"
"-",NULL,"TO-30"
"-",NULL,"TO-46"
"-",NULL,"TORQ GARD"
"-",NULL,"UTTO FLUID"
"-",NULL,"VCS 2 NARANJA"
"-",NULL,"VCS AMARILLO"
"-",NULL,"WB101"
"-",NULL,"WB102"
"-",NULL,"XHP 462"
"-",NULL,"ZH46"
"77 LUBRICANTS",NULL,"1005"
"77 LUBRICANTS",NULL,"20W"
"77 LUBRICANTS",NULL,"20W20"
"77 LUBRICANTS",NULL,"Glicol"
"77 LUBRICANTS",NULL,"NÃO INFORMADO"
"77 LUBRICANTS",NULL,"S10"
"77 LUBRICANTS",NULL,"SAE 10W30"
"77 LUBRICANTS",NULL,"SAE 15W40"
"77 LUBRICANTS",NULL,"SAE 20W30"
"77 LUBRICANTS",NULL,"SAE 5W30"
"77 LUBRICANTS",NULL,"SAE 80W90"
"77 LUBRICANTS",NULL,"SAE 90"
"ACDelco",NULL,"-"
"ACDelco",NULL,"1005"
"ACDelco",NULL,"102 EAL"
"ACDelco",NULL,"5W20"
"ACDelco",NULL,"Coolant"
"ACDelco",NULL,"COOL-GARD"
"ACDelco",NULL,"Glicol"
"ACDelco",NULL,"NÃO INFORMADO"
"ACDelco",NULL,"S10"
"ACDelco",NULL,"SAE 0W16"
"ACDelco",NULL,"SAE 0W20"
"ACDelco",NULL,"SAE 10W30"
"ACDelco",NULL,"SAE 10W40"
"ACDelco",NULL,"SAE 15W30"
"ACDelco",NULL,"SAE 15W40"
"ACDelco",NULL,"SAE 40"
"ACDelco",NULL,"SAE 5W30"
"ACDelco",NULL,"SAE 85W140"
"ADDINOL",NULL,"10 EXCEL 15"
"ADDINOL",NULL,"SAE 15W40"
"AEGIS",NULL,"ISO VG 150"
"AGCO",NULL,"80W"
"AGCO",NULL,"80W90"
"AGCO",NULL,"85W90"
"AGCO",NULL,"Coolant"
"AGCO",NULL,"ISO 320"
"AGCO",NULL,"ISO VG 320"
"AGCO",NULL,"SAE 10W30"
"AGCO",NULL,"SAE 10W40"
"AGCO",NULL,"SAE 15W40"
"AGCO",NULL,"SAE 90"
"AGIP",NULL,"460"
"AGIP",NULL,"90"
"AGIP",NULL,"SAE 15W40"
"AGIP",NULL,"SAE 85W140"
"AGM",NULL,"1 ATF"
"AGM",NULL,"2000"
"AGM",NULL,"80W90"
"AGM",NULL,"SAE 0W16"
"AGM",NULL,"SAE 10W30"
"AGM",NULL,"SAE 15W40"
"AGM",NULL,"SAE 20W40"
"AGM",NULL,"SAE 80W140"
"AGM",NULL,"SAE 85W140"
"AGROL",NULL,"ISO VG 46"
"AGROL",NULL,"SAE 15W40"
"AKCELA",NULL,"-"
"AKCELA",NULL,"68"
"AKCELA",NULL,"80W110"
"AKCELA",NULL,"80w140"
"AKCELA",NULL,"80W90"
"AKCELA",NULL,"85W40"
"AKCELA",NULL,"85W90"
"AKCELA",NULL,"ACTIFULL OT"
"AKCELA",NULL,"ATF"
"AKCELA",NULL,"ATF MD3"
"AKCELA",NULL,"AW 68 HLP"
"AKCELA",NULL,"BP 46"
"AKCELA",NULL,"Collant"
"AKCELA",NULL,"Coolant"
"AKCELA",NULL,"HD 85W140"
"AKCELA",NULL,"HY-TRAN"
"AKCELA",NULL,"ISO 46"
"AKCELA",NULL,"ISO 68"
"AKCELA",NULL,"ISO VG 46"
"AKCELA",NULL,"ISO VG 68"
"AKCELA",NULL,"ISO VG 68 (duplicado)"
"AKCELA",NULL,"NÃO INFORMADO"
"AKCELA",NULL,"S10"
"AKCELA",NULL,"S500"
"AKCELA",NULL,"SAE 10W30"
"AKCELA",NULL,"SAE 10W40"
"AKCELA",NULL,"SAE 15W30"
"AKCELA",NULL,"SAE 15W40"
"AKCELA",NULL,"SAE 15W50"
"AKCELA",NULL,"SAE 20W30"
"AKCELA",NULL,"SAE 20W40"
"AKCELA",NULL,"SAE 46"
"AKCELA",NULL,"SAE 50"
"AKCELA",NULL,"SAE 5W30"
"AKCELA",NULL,"SAE 5W40"
"AKCELA",NULL,"SAE 68"
"AKCELA",NULL,"SAE 80W140"
"AKCELA",NULL,"SAE 80W90"
"AKCELA",NULL,"SAE 85W140"
"AKCELA",NULL,"SAE 90"
"AKO",NULL,"SAE 15W40"
"AKO",NULL,"SAE 85W140"
"ALL",NULL,"50/50"
"ALL",NULL,"68"
"ALL",NULL,"AW 68 HLP"
"ALL",NULL,"ISO VG 1000"
"ALL",NULL,"ISO VG 32"
"ALL",NULL,"ISO VG 46"
"ALL",NULL,"ISO VG 68"
"ALL",NULL,"NA"
"ALL",NULL,"NÃO INFORMADO"
"ALL",NULL,"S10"
"ALL",NULL,"S500"
"ALL",NULL,"SAE 0W16"
"ALL",NULL,"SAE 15W40"
"AMALIE",NULL,"Glicol"
"AMALIE",NULL,"SAE 10W40"
"AMALIE",NULL,"SAE 15W40"
"AMBRA",NULL,"-"
"AMBRA",NULL,"10 EXCEL 68"
"AMBRA",NULL,"668"
"AMBRA",NULL,"68"
"AMBRA",NULL,"80w140"
"AMBRA",NULL,"80W90"
"AMBRA",NULL,"85W40"
"AMBRA",NULL,"85W90"
"AMBRA",NULL,"ACTIFULL OT"
"AMBRA",NULL,"COOL-GARD"
"AMBRA",NULL,"Fluide DA"
"AMBRA",NULL,"HD 85W140"
"AMBRA",NULL,"HIDROBAK HV 68"
"AMBRA",NULL,"HM68"
"AMBRA",NULL,"ISO 68"
"AMBRA",NULL,"ISO VG 46"
"AMBRA",NULL,"ISO VG 68"
"AMBRA",NULL,"ISO VG 68 (duplicado)"
"AMBRA",NULL,"NÃO INFORMADO"
"AMBRA",NULL,"No Informado"
"AMBRA",NULL,"Óleo Diesel"
"AMBRA",NULL,"S10"
"AMBRA",NULL,"SAE 0W30"
"AMBRA",NULL,"SAE 10W30"
"AMBRA",NULL,"SAE 10W40"
"AMBRA",NULL,"SAE 140"
"AMBRA",NULL,"SAE 15W30"
"AMBRA",NULL,"SAE 15W40"
"AMBRA",NULL,"SAE 20W40"
"AMBRA",NULL,"SAE 80W140"
"AMBRA",NULL,"SAE 80W90"
"AMBRA",NULL,"SAE 85W140"
"AMBRA",NULL,"SAE 90"
"AMBRA",NULL,"UTTO FLUID"
"AMSOIL",NULL,"-"
"AMSOIL",NULL,"220"
"AMSOIL",NULL,"320"
"AMSOIL",NULL,"600 XP 320"
"AMSOIL",NULL,"681"
"AMSOIL",NULL,"ISO 320"
"AMSOIL",NULL,"ISO 3200"
"AMSOIL",NULL,"ISO VG 320"
"ANDEROL",NULL,"-"
"ANDEROL",NULL,"GRAU 100"
"ANDEROL",NULL,"ISO VG 46"
"ANDEROL",NULL,"ISO VG 68"
"ATLAS COPCO","ROTO INJECT","ISO 55"
"ATLAS COPCO","ROTO XTEND DUTY FLUID","ISO VG 46"
"ATLAS COPCO","ROTO-XTEND DUTY FLUID","ISO 46"
"ATLAS COPCO","ROTO-XTEND DUTY FLUID","ISO VG 46"
"ATLAS COPCO",NULL,"-"
"ATLAS COPCO",NULL,"18000"
"ATLAS COPCO",NULL,"20W"
"ATLAS COPCO",NULL,"46"
"ATLAS COPCO",NULL,"4600"
"ATLAS COPCO",NULL,"50/50"
"ATLAS COPCO",NULL,"540 X"
"ATLAS COPCO",NULL,"55"
"ATLAS COPCO",NULL,"68"
"ATLAS COPCO",NULL,"80W"
"ATLAS COPCO",NULL,"ISO 100"
"ATLAS COPCO",NULL,"ISO 46"
"ATLAS COPCO",NULL,"ISO 68"
"ATLAS COPCO",NULL,"ISO VG 100"
"ATLAS COPCO",NULL,"ISO VG 220"
"ATLAS COPCO",NULL,"ISO VG 32"
"ATLAS COPCO",NULL,"ISO VG 45"
"ATLAS COPCO",NULL,"ISO VG 46"
"ATLAS COPCO",NULL,"ISO VG 460"
"ATLAS COPCO",NULL,"ISO VG 55"
"ATLAS COPCO",NULL,"ISO VG 68"
"ATLAS COPCO",NULL,"ISO VG 68 (duplicado)"
"ATLAS COPCO",NULL,"NÃO INFORMADO"
"ATLAS COPCO",NULL,"ROTO Z"
"ATLAS COPCO",NULL,"S10"
"ATLAS COPCO",NULL,"SAE 15W40"
"ATLAS COPCO",NULL,"SAE 30"
"ATLAS COPCO",NULL,"SAE 46"
"AVIA BANTLEON",NULL,"ISO VG 32"
"AVIA BANTLEON",NULL,"ISO VG 46"
"BARDAHL",NULL,"-"
"BARDAHL",NULL,"68"
"BARDAHL",NULL,"80W90"
"BARDAHL",NULL,"Coolant"
"BARDAHL",NULL,"COOL-GARD"
"BARDAHL",NULL,"ISO 68"
"BARDAHL",NULL,"ISO VG 100"
"BARDAHL",NULL,"ISO VG 150"
"BARDAHL",NULL,"ISO VG 32"
"BARDAHL",NULL,"ISO VG 46"
"BARDAHL",NULL,"ISO VG 68"
"BARDAHL",NULL,"Plus 85w140"
"BARDAHL",NULL,"SAE 10W30"
"BARDAHL",NULL,"SAE 15W40"
"BARDAHL",NULL,"SAE 85W140"
"BASF",NULL,"-"
"BASF",NULL,"40 (INACTIVO)"
"BASF",NULL,"Collant"
"BASF",NULL,"Coolant"
"BASF",NULL,"Glicol"
"BASF",NULL,"ISO VG 10"
"BASF",NULL,"NÃO INFORMADO"
"Be8","BeVant","-"
"BECHEM",NULL,"NÃO INFORMADO"
"BECHSUD",NULL,"ISO VG 68"
"BECHSUD",NULL,"NÃO INFORMADO"
"BESLUX",NULL,"80W85"
"BESLUX",NULL,"85W40"
"BESLUX",NULL,"HD 85W140"
"BESLUX",NULL,"HYGARD"
"BESLUX",NULL,"ISO VG 220"
"BESLUX",NULL,"ISO VG 46"
"BESLUX",NULL,"ISO VG 460"
"BESLUX",NULL,"SAE 15W30"
"BESLUX",NULL,"SAE 20W30"
"BESLUX",NULL,"SAE 85W140"
"Bitzer","BSE 170","BSE 170"
"Bitzer",NULL,"-"
"Bitzer",NULL,"BSE 170"
"Bitzer",NULL,"ISO VG 32"
"Blaser",NULL,"SAE 0W50"
"Blaser",NULL,"SAE 15W40"
"Blaser",NULL,"SAE 30"
"Blaser",NULL,"SAE 50"
"BOBCAT",NULL,"ISO 68"
"BOBCAT",NULL,"ISO VG 46"
"BOBCAT",NULL,"ISO VG 68"
"BOBCAT",NULL,"SAE 10W30"
"BOBCAT",NULL,"SAE 15W40"
"BP",NULL,"S10"
"BRUGAROLAS",NULL,"150"
"BRUGAROLAS",NULL,"220"
"BRUGAROLAS",NULL,"320"
"BRUGAROLAS",NULL,"68"
"BRUGAROLAS",NULL,"680"
"BRUGAROLAS",NULL,"ISO 100"
"BRUGAROLAS",NULL,"ISO 220"
"BRUGAROLAS",NULL,"ISO 32"
"BRUGAROLAS",NULL,"ISO 46"
"BRUGAROLAS",NULL,"ISO 460"
"BRUGAROLAS",NULL,"ISO VG 100"
"BRUGAROLAS",NULL,"ISO VG 150"
"BRUGAROLAS",NULL,"ISO VG 220"
"BRUGAROLAS",NULL,"ISO VG 32"
"BRUGAROLAS",NULL,"ISO VG 320"
"BRUGAROLAS",NULL,"ISO VG 46"
"BRUGAROLAS",NULL,"ISO VG 460"
"BRUGAROLAS",NULL,"ISO VG 68"
"BRUGAROLAS",NULL,"ISO VG 680"
"BUSCH",NULL,"-"
"BUSCH",NULL,"AT101"
"BUSCH",NULL,"ISO VG 100"
"BUSCH",NULL,"ISO VG 150"
"CADIUM",NULL,"220"
"CADIUM",NULL,"320"
"CADIUM",NULL,"68"
"CADIUM",NULL,"ISO 220"
"CADIUM",NULL,"ISO VG 150"
"CADIUM",NULL,"ISO VG 220"
"CADIUM",NULL,"ISO VG 320"
"CADIUM",NULL,"ISO VG 46"
"CADIUM",NULL,"ISO VG 460"
"CADIUM",NULL,"ISO VG 68"
"CADIUM",NULL,"ISO VG 680"
"CALTEX",NULL,"TELLUS 68"
"Carrier",NULL,"ISO 220"
"Carrier",NULL,"ISO VG 220"
"Carrier",NULL,"ISO VG 68"
"CASTROL",NULL,"-"
"CASTROL",NULL,"220"
"CASTROL",NULL,"220 EP"
"CASTROL",NULL,"320"
"CASTROL",NULL,"500"
"CASTROL",NULL,"50/50"
"CASTROL",NULL,"528"
"CASTROL",NULL,"600 XP 100"
"CASTROL",NULL,"600 XP 320"
"CASTROL",NULL,"668"
"CASTROL",NULL,"68"
"CASTROL",NULL,"80W90"
"CASTROL",NULL,"A295"
"CASTROL",NULL,"ATF"
"CASTROL",NULL,"AW32"
"CASTROL",NULL,"Coolant"
"CASTROL",NULL,"HD 50"
"CASTROL",NULL,"ISO 100"
"CASTROL",NULL,"ISO 220"
"CASTROL",NULL,"ISO 2200"
"CASTROL",NULL,"ISO 320"
"CASTROL",NULL,"ISO 46"
"CASTROL",NULL,"ISO 460"
"CASTROL",NULL,"ISO VG 15"
"CASTROL",NULL,"ISO VG 150"
"CASTROL",NULL,"ISO VG 22"
"CASTROL",NULL,"ISO VG 220"
"CASTROL",NULL,"ISO VG 32"
"CASTROL",NULL,"ISO VG 320"
"CASTROL",NULL,"ISO VG 46"
"CASTROL",NULL,"ISO VG 460"
"CASTROL",NULL,"ISO VG 68"
"CASTROL",NULL,"NA"
"CASTROL",NULL,"SAE 10W40"
"CASTROL",NULL,"SAE 15W40"
"CASTROL",NULL,"SAE 30"
"CASTROL",NULL,"SAE 40"
"CASTROL",NULL,"SAE 5W30"
"CASTROL",NULL,"SAE 80W90"
"CASTROL",NULL,"TRANSYND"
"CAT","DEO-ULS","SAE 15W40"
"CAT",NULL,"-"
"CAT",NULL,"10w50"
"CAT",NULL,"220"
"CAT",NULL,"30W"
"CAT",NULL,"50/50"
"CAT",NULL,"50W"
"CAT",NULL,"68"
"CAT",NULL,"80W"
"CAT",NULL,"80W90"
"CAT",NULL,"Collant"
"CAT",NULL,"Coolant"
"CAT",NULL,"HD 10"
"CAT",NULL,"HD 50"
"CAT",NULL,"ISO 100"
"CAT",NULL,"ISO 220"
"CAT",NULL,"ISO 320"
"CAT",NULL,"ISO VG 220"
"CAT",NULL,"ISO VG 46"
"CAT",NULL,"NA"
"CAT",NULL,"NÃO INFORMADO"
"CAT",NULL,"No Informado"
"CAT",NULL,"S10"
"CAT",NULL,"SAE 0W30"
"CAT",NULL,"SAE 0W50"
"CAT",NULL,"SAE 10W"
"CAT",NULL,"SAE 10W30"
"CAT",NULL,"SAE 10W40"
"CAT",NULL,"SAE 15W40"
"CAT",NULL,"SAE 30"
"CAT",NULL,"SAE 50"
"CAT",NULL,"SAE 60"
"CAT",NULL,"SAE 75W140"
"CAT",NULL,"SAE 85W140"
"CAT",NULL,"SAE 90"
"CATERPILLAR",NULL,"-"
"CATERPILLAR",NULL,"10W (inactive)"
"CATERPILLAR",NULL,"220"
"CATERPILLAR",NULL,"30"
"CATERPILLAR",NULL,"30W"
"CATERPILLAR",NULL,"500"
"CATERPILLAR",NULL,"50/50"
"CATERPILLAR",NULL,"50W"
"CATERPILLAR",NULL,"68"
"CATERPILLAR",NULL,"80W90"
"CATERPILLAR",NULL,"ATF"
"CATERPILLAR",NULL,"Collant"
"CATERPILLAR",NULL,"Coolant"
"CATERPILLAR",NULL,"COOL-GARD"
"CATERPILLAR",NULL,"Fluide XLD FE"
"CATERPILLAR",NULL,"Glicol"
"CATERPILLAR",NULL,"HD 10"
"CATERPILLAR",NULL,"HD 85W140"
"CATERPILLAR",NULL,"Hydrau"
"CATERPILLAR",NULL,"HYGARD"
"CATERPILLAR",NULL,"ISO 220"
"CATERPILLAR",NULL,"ISO VG 220"
"CATERPILLAR",NULL,"ISO VG 46"
"CATERPILLAR",NULL,"ISO VG 68"
"CATERPILLAR",NULL,"NA"
"CATERPILLAR",NULL,"NÃO INFORMADO"
"CATERPILLAR",NULL,"Óleo Diesel"
"CATERPILLAR",NULL,"S10"
"CATERPILLAR",NULL,"S500"
"CATERPILLAR",NULL,"SAE 0W30"
"CATERPILLAR",NULL,"SAE 0W50"
"CATERPILLAR",NULL,"SAE 10W"
"CATERPILLAR",NULL,"SAE 10W30"
"CATERPILLAR",NULL,"SAE 10W40"
"CATERPILLAR",NULL,"SAE 15W40"
"CATERPILLAR",NULL,"SAE 30"
"CATERPILLAR",NULL,"SAE 46"
"CATERPILLAR",NULL,"SAE 50"
"CATERPILLAR",NULL,"SAE 60"
"CATERPILLAR",NULL,"SAE 75W140"
"CATERPILLAR",NULL,"SAE 85W140"
"CATERPILLAR",NULL,"SAE 90"
"CAT MTO",NULL,"Coolant"
"CAT MTO",NULL,"SAE 15W40"
"CAT MTO",NULL,"SAE 85W140"
"CEPSA",NULL,"SAE 10W40"
"CERTOP",NULL,"80W90"
"CERTOP",NULL,"ISO VG 220"
"CERTOP",NULL,"ISO VG 320"
"CERTOP",NULL,"ISO VG 680"
"CERTOP",NULL,"SAE 140"
"CERTOP",NULL,"SAE 85W140"
"CESTARI",NULL,"80W90"
"CESTARI",NULL,"ISO VG 220"
"CESTARI",NULL,"ISO VG 320"
"CESTARI",NULL,"SAE 10W40"
"CHAINMASTER",NULL,"-"
"CHAINMASTER",NULL,"ISO 220"
"CHAINMASTER",NULL,"ISO VG 68"
"CHAINMASTER",NULL,"SAE 15W40"
"CHAINMASTER",NULL,"SAE 50"
"CHARVAT",NULL,"S500"
"CHEMLUB",NULL,"-"
"CHEMLUB",NULL,"220"
"CHEMLUB",NULL,"320"
"CHEMLUB",NULL,"4600"
"CHEMLUB",NULL,"68"
"CHEMLUB",NULL,"ISO 320"
"CHEMLUB",NULL,"ISO 3200"
"CHEMLUB",NULL,"ISO 460"
"CHEMLUB",NULL,"ISO VG 100"
"CHEMLUB",NULL,"ISO VG 220"
"CHEMLUB",NULL,"ISO VG 320"
"CHEMLUB",NULL,"ISO VG 46"
"CHEMLUB",NULL,"ISO VG 460"
"CHEMLUB",NULL,"ISO VG 68"
"CHEMLUB",NULL,"ISO VG 680"
"CHEMLUB",NULL,"SAE 85W140"
"CHEM TREND","HF-28","-"
"CHEVRON",NULL,"-"
"CHEVRON",NULL,"20W"
"CHEVRON",NULL,"50/50"
"CHEVRON",NULL,"80W"
"CHEVRON",NULL,"80W90"
"CHEVRON",NULL,"A295"
"CHEVRON",NULL,"ATF"
"CHEVRON",NULL,"AW 68 HLP"
"CHEVRON",NULL,"ISO VG 100"
"CHEVRON",NULL,"NÃO INFORMADO"
"CHEVRON",NULL,"S10"
"CHEVRON",NULL,"SAE 10W30"
"CHEVRON",NULL,"SAE 1350"
"CHEVRON",NULL,"SAE 15W40"
"CHEVRON",NULL,"SAE 50"
"CHEVRON",NULL,"SAE 80W90"
"CHEVRON",NULL,"TEXAMATIC B"
"Chicago Pneumatic","Fluido Refrigerante CP-46","ISO VG 46"
"Chicago Pneumatic",NULL,"ISO VG 46"
"Comma",NULL,"68"
"Comma",NULL,"AW 68 HLP"
"Comma",NULL,"ISO VG 68"
"Comma",NULL,"SAE 10W40"
"CONSENSO",NULL,"SAE 46"
"Cosan",NULL,"-"
"Cosan",NULL,"220"
"Cosan",NULL,"600 XP 320"
"Cosan",NULL,"ISO VG 320"
"Cosan",NULL,"SAE 15W40"
"Cosan",NULL,"SAE 5W30"
"CPI",NULL,"68"
"CPI",NULL,"ISO 100"
"CPI",NULL,"ISO 68"
"CPI",NULL,"ISO VG 150"
"CPI",NULL,"ISO VG 68"
"CPI",NULL,"NÃO INFORMADO"
"DNK FRESH",NULL,"-"
"DNK FRESH",NULL,"ATF"
"DNK FRESH",NULL,"Fluid DOT4"
"DNK FRESH",NULL,"ISO VG 32"
"DNK FRESH",NULL,"SAE 10W30"
"DNK FRESH",NULL,"SAE 15W40"
"DNK FRESH",NULL,"SAE 75W140"
"DOOSAN",NULL,"SAE 15W40"
"DOOSAN",NULL,"SAE 85W140"
"Dulub","Dulub Supreme SAE 20W50","SAE 20W50"
"Dulub",NULL,"68"
"Dulub",NULL,"80W90"
"Dulub",NULL,"ATF"
"Dulub",NULL,"AW 68 HLP"
"Dulub",NULL,"ISO VG 68"
"Dulub",NULL,"NÃO INFORMADO"
"Dulub",NULL,"SAE 0W16"
"Dulub",NULL,"SAE 10W30"
"Dulub",NULL,"SAE 10W40"
"Dulub",NULL,"SAE 15W40"
"Dulub",NULL,"SAE 20W30"
"Dulub",NULL,"SAE 85W140"
"EASTMAN",NULL,"-"
"EASTMAN",NULL,"ISO 32"
"EATON",NULL,"-"
"EATON",NULL,"40W"
"EATON",NULL,"75W80"
"EATON",NULL,"80W90"
"EATON",NULL,"ATF MD3"
"EATON",NULL,"SAE 0W40"
"EATON",NULL,"SAE 40"
"EATON",NULL,"SAE 75W90"
"EATON",NULL,"SAE 80W90"
"EATON",NULL,"SAE 85W140"
"EATON",NULL,"SAE 90"
"ECOOL",NULL,"NÃO INFORMADO"
"EKOMAX",NULL,"-"
"EKOMAX",NULL,"S10"
"EKOMAX",NULL,"SAE 10W"
"ELC",NULL,"-"
"ELC",NULL,"50/50"
"ELC",NULL,"60/40"
"ELC",NULL,"ATF"
"ELC",NULL,"Collant"
"ELC",NULL,"Coolant"
"ELC",NULL,"NÃO INFORMADO"
"ELC",NULL,"SAE 15W40"
"ELF",NULL,"ISO VG 68"
"EMKARATE",NULL,"-"
"EMKARATE",NULL,"220"
"EMKARATE",NULL,"60/40"
"EMKARATE",NULL,"68"
"EMKARATE",NULL,"ISO VG 220"
"EMKARATE",NULL,"ISO VG 32"
"EMKARATE",NULL,"ISO VG 68"
"EMKARATE",NULL,"SAE 0W40"
"ENERGY PANTHER",NULL,"SAE 10W30"
"ENERGY PANTHER",NULL,"SAE 10W40"
"ENERGY PANTHER",NULL,"SAE 15W40"
"ENERGY PANTHER",NULL,"Special 2T"
"ESSO",NULL,"ISO VG 46"
"EURO-DIESEL",NULL,"1005"
"EURO-DIESEL",NULL,"Biodiesel B100"
"EURO-DIESEL",NULL,"NÃO INFORMADO"
"EURO-DIESEL",NULL,"Óleo Diesel"
"EURO-DIESEL",NULL,"S10"
"EURO-DIESEL",NULL,"S500"
"EVORA",NULL,"68"
"EVORA",NULL,"80W90"
